,Characters,Script,Test,Gender,length
739,QUI-GON, The boy then...,False,Male,3
740,PADME, Do what,False,Female,2
741,PADME, You Jedi are far too reckless. The Queen..,False,Female,8
742,QUI-GON," Would you like to discuss it with the Hutts...I'm sure they can
settle this",False,Male,14
743,PADME, We owe you everything,False,Female,4
744,QUI-GON, It's the boy who's responsible for getting those parts.,False,Male,9
745,QUI-GON, Did you,False,Male,2
746,ANAKIN, What?!,False,Male,1
747,MI," Now you can make your dreams come true Annie. You're free! (turns
to Qui-Gon) Will you take him with you? Is he to become a Jedi",False,,26
748,QUI-GON," This path has been placed for you Annie; the choice to take it
is yours alone.",False,Male,16
749,ANAKIN, Yipee!!,False,Male,1
750,QUI-GON, It's not nearly enough.,False,Male,4
751,MI," You can't stop change any more than you can stop the suns from
setting. Listen to your feelings; Annie you know what's right.",False,,23
752,MI, He was in my life for such a short time.,False,,10
753,ANAKIN," I'm sorry I wasn't able to finish you Threepio...give you
coverings and all... I'm going to miss working on you. You've been a great
pal. I'll make sure Mom doesn't sell you or anything. Bye.",False,Male,35
754,NUTE, Thank's for every moment you've been here. You're my best friend,False,Male,11
755,MI, What does your heart tell you,False,,6
756,PADME, He's a friend.,False,Female,3
757,OBI-WAN, Over there! Fly low!,False,Male,4
758,OBI-WAN, What was it,False,Male,3
759,PADME," The Queen is...worried. Her people are suffering...dying. She must
convince the Senate to intervene or...I'm not sure what will happen",False,Female,20
760,AMIDALA, I am grateful for your concern Chancellor.,False,Female,7
761,PALPATINE," If I may say so Your Majesty the Chancellor has little real
power...he is mired down by baseless accusations of corruption. A
manufactured scandal surrounds him. The bureaucrats are in charge now",False,,32
762,-ADI, Impossible! The Sith have been extinct for a millenium,False,,9
763,DA, A vergence you say,False,,4
764,MACE WINDU, Bring him before us then,False,Male,5
765,PALPATINE," You must force a new election for Supreme Chancellor...I
promise you there are many who will support us...it is our best chance...
Your Majesty our only chance",False,,27
766,LORUM, Overruled,False,,1
767,OBI-WAN, Don't defy the Council Master..not again,False,Male,6
768,DA, Afraid are you,False,,3
769,-ADI, YOur thoughts dwell on your mother,False,,6
770,JAR JAR, Yousa tinken yousa people ganna die,False,Male,6
771,AMIDALA, Who else can be nominated,False,Female,5
772,-ADI, The Force is strong with him,False,,6
773,DA, Clouded this boy's future is. Masked by his youth,False,,9
774,QUI-GON, Obi-Wan is ready..,False,Male,3
775,MACE WINDU," Now is not the time for this...the Senate is voting for a new
Spreme Chancellor. Queen Amidala is returning home which will put pressure
on the Federation and could widen the confrontation",False,Male,32
776,MACE WINDU, He is your ward Qui-Gon...we will not dispute that,False,Male,9
777,OBI-WAN, The boy is dangerous...they all sense it. Why can't you,False,Male,10
778,QUI-GON, I promise you I will not let that happen.,False,Male,9
779,DARTH SIDIOUS, Viceroy is the planet secure,False,Male,5
780,ANAKIN, And those control the pitch,False,Male,5
781,AMIDALA, I'm going to take back what's ours,False,Female,7
782,RIC OLIE, I have one battleship on my scope,False,Male,7
783,ANAKIN," I'm with Qui-Gon...but...they're not going to let me be a Jedi.
I'm too old",False,Male,14
784,OBI-WAN," I'm...I'm sorry for my behavior Master. It is not my place to
disagree with you about the boy. I am grateful you think I am ready for the
trials.",False,Male,29
785,OBI-WAN, More likely they were wiped out,False,Male,6
786,JAR JAR, We comen to see da boss.,False,Male,6
787,DARTH MAUL, Yes my Master,False,Male,3
788,BOSS NASS, So wesa maken yousa Bombad General,False,Male,6
789,PADME," The battle is a diversion. The Gungans must draw theDroid Army away
from the cities. We can enter the city using the secret passages on the
waterfall side. Once we get to the main entrance Captain Pnaka will create
a diversion so that we can enter the palace and capture the Viceroy.
Without the Viceroy they will be lost and confused.",False,Female,61
790,CAPT. PANAKA," The difficulty's getting into the throne room. Once we're
inside we shouldn't have a problem",False,Male,15
791,OBI-WAN," And there's an even bigger danger. If the Vicroy escapes Your
Highness he will return with another droid army",False,Male,19
792,M-9, I am increasing security at all Naboo detention camps,False,,9
793,QUI-GON, And stay there!,False,Male,3
794,AKNI, But I..,False,,2
795,PADME, Captain I said throw down your weapons.,False,Female,7
796,OBI-WAN, No,False,Male,1
797,AVO THREE, Look! One of ours! Outta the main hold!!,False,,8
798,DA," The Chosen One the boy may be; nevertheless grave danger I fear in
his training",False,,15
799,OBI-WAN, I am your Master now. You will become a Jedi I promise.,False,Male,12
800,MACE WINDU, But which one was destroyed the master or the apprentice?,False,Male,10
801,QUI-GON," Don't center on your anxiety Obi-Wan. Keep your concentration
here and now where it belongs",False,Male,15
802,NE, That won't be enough sir.,False,,5
803,OBI-WAN," You were right about one thing Master. The negotiations were
short.",False,Male,11
804,AMIDALA," Enough of this pretense Viceroy! I'm aware the Chancellor's
Ambassadors are with you now and that you have beencommanded to reach a
settlement",False,Female,23
805,NUTE," I don't know but we must move quickly to disrupt all communications
down there.",False,Male,14
806,BBLE, A communications disruption can only mean one thing. Invasion,False,,9
807,OBI-WAN, What's this,False,Male,2
808,JAR JAR," Iss embarrissing boot... My afrai my've bean banished. My
forgoten der Bosses would do terrible tings to my. Terrible tings if my
goen back dare.",False,Male,25
809,OBI-WAN," After those droids take control of the surface they will come
here and take control of you",False,Male,17
810,BOSS NASS, Pounded unto death,False,Male,3
811,QUI-GON, You're the navigator,False,Male,3
812,DARTH SIDIOUS," Queen Amidala is yound and naive. You will find controlling
her will not be difficult. You have done well Viceroy",False,Male,20
813,OBI-WAN, What is it?,False,Male,3
814,JAR JAR, No a mighty no!,False,Male,4
815,NUTE," Now now your Highness. You are not going to like what we have in
store for your people. In time their suffering will persuade you to see
our point of view. Commander.  Process them",False,Male,34
816,QUI-GON, They will kill you if you stay,False,Male,7
817,AMIDALA," Then I will plead our case before the Senate.  Be
careful Governor.",False,Female,12
818,CAPT. PANAKA, The Hutts?,False,Male,2
819,DARTH SIDIOUS, Viceroy find her! I want that treaty signed,False,Male,8
820,NE," We should not have made this bargain. What will happen when the Jedi
become aware of these Sith Lords?",False,,19
821,PADME, Thank you. This little guy is quite a mess.,False,Female,9
822,PADME, I've been trained in defense... I can take care of myself,False,Female,11
823,QUI-GON, My droid here has a readout of what I need.,False,Male,10
824,PADME, You're...a slave?,False,Female,2
825,QUI-GON," I don't have anything else.  But credits will
do fine",False,Male,10
826,ANAKIN, Anakin Skywalker,False,Male,2
827,ANAKIN, To a point. ,False,Male,3
828,RA, You're a fine boy Annie,False,,5
829,ANAKIN, Is it far,False,Male,3
830,PADME, ...and our droid Artoo-Detoo,False,Female,4
831,MI, Yes I know.,False,,3
832,QUI-GON, Either way we're running out of time.,False,Male,7
833,DARTH SIDIOUS," You have been well trained my young apprentice they will
be no match for you. It is too late for them to stop us now. Everything is
going as planned. The Republic will soon be in my command.",False,Male,38
834,ANAKIN, ...and they blow you up...poof!,False,Male,5
835,QUI-GON, What makes you think that,False,Male,5
836,ANAKIN, I can help! I can fix anything,False,Male,7
837,ANAKIN, Bayno Bayno!,False,Male,2
838,WATTO," I hope you didn't kill anyone I know for it.  So you
supply the Pod and the entry fee; I supply the boy. We split the winnings
fifty-fifty I think",False,Male,30
839,MI, Yes..,False,,1
840,LD,  Annie Jesko na joka. 9You are such a joke Annie.,False,,10
841,ANAKIN, Has anyone been to them all,False,Male,6
842,MI,  Annie! I'm not goiung to tell you again,False,,8
843,OBI-WAN, Wait a minute..,False,Male,3
844,QUI-GON, You don't think Anakin will win?,False,Male,6
845,QUI-GON, I'll take that bet,False,Male,4
846,NUTE, Finish the race of course,False,Male,5
847,QUI-GON, The Queen trusts my judgment young handmaiden. You should too,False,Male,10
848,WATTO, No no! I want no more of your tricks! Take him!,False,Male,11
849,ANAKIN, Just feeling this good was worth it.,False,Male,7
850,ANAKIN, No,False,Male,1
851,QUI-GON, You're no longer a slave.,False,Male,5
852,QUI-GON," Our meeting was not a coincidence. Nothing happens by accident.
You are strong with the Force but you may not be accepted by the Coucil",False,Male,25
853,ANAKIN, I won't forget.,False,Male,3
854,ANAKIN, I hope so...yes...I guess,False,Male,4
855,QUI-GON," I don't know... but he was well trained in the Jedi arts. My
guess is he was after the Queen..",False,Male,20
856,ANAKIN," I'm...I'm not sure what's going to happen to me. I dunno if I'll
ever see you again..  I made this for
you. Sou you'd remember me. I carved it out of a japor snippet... It will
bring you good fortune.",False,Male,40
857,AMIDALA, What options do we have,False,Female,5
858,DA, The very Republic is threatened if involved the Sith are,False,,10
859,MACE WINDU, Located around a person,False,Male,4
860,DA, Tested he will be.,False,,4
861,AMIDALA," You truely believe Chancellor Valorum will not bring our motion
to a vote",False,Female,13
862,TT DOD," Your Honor you cannot allow us to be condemned without
reasonable observation. It's against all the rules of procedure.",False,,19
863,QUI-GON, I will do what I must,False,Male,6
864,ANAKIN, No sir,False,Male,2
865,ANAKIN, I miss her,False,Male,3
866,AMIDALA, I don't know,False,Female,3
867,CAPT. PANAKA, Bail Antilles of Alderaan and Ainlee Teem of Malastare,False,Male,9
868,QUI-GON, He's to be trained then.,False,Male,5
869,QUI-GON, I will trin him then. I take Anakin as my Padawan learner.,False,Male,12
870,OBI-WAN, Iam ready to face the trials,False,Male,6
871,DA, And draw out the Queen's attacker,False,,6
872,DA, Train him not. Take him with you but train him not,False,,11
873,QUI-GON," His fate is uncertain not dangerous. The Council will decide
Anakin's future...that should be enough for you. Now get on board",False,Male,21
874,NUTE," Yes my Lord we have taken over the last pockets of primitive life
forms. We are in complete control of the planet now",False,Male,23
875,RIC OLIE, You catch on pretty quick.,False,Male,5
876,CAPT. PANAKA," There are only twelve of us Your Highness....we have no
army",False,Male,11
877,OBI-WAN, A droid control ship,False,Male,4
878,PADME, This is going to be dangerous Annie,False,Female,7
879,JAR JAR," No...mesa no tink so. Gungan hiden. When in trouble go to sacred
place. Mackineeks no find them dare",False,Male,18
880,DARTH SIDIOUS, Be patient... Let them make the first move.,False,Male,8
881,JAR JAR, General??! Oh no..,False,Male,3
882,QUI-GON," There is a possibility with this diversion many Gungans will be
killed",False,Male,12
883,PADME," That is why we must not fail to get to the Viceroy. Everything
depends on it.",False,Female,16
884,DARTH MAUL," I feel there is more to this My Master. The two Jedi may be
using the Queen for their own purposes",False,Male,21
885,QUI-GON, Stay in that cockpit.,False,Male,4
886,QUI-GON, Obi-Wan promise...promise me you'll train the boy..,False,Male,7
887,OBI-WAN," Master Yoda Igave Qui-Gon my word. I will train Anakin. Without
the approval of the Council if I must",False,Male,19
888,OBI-WAN, Master Yoda says I should be mindful of the future..,False,Male,10
889,NUTE, I know nothing about any Ambassadors...you must be mistaken.,False,Male,9
890,AMIDALA," Don't jump to conclusions Governor. The Federation would not
dare go that far",False,Female,13
891,QUI-GON, A local. Let's go before more of those droids show up,False,Male,11
892,BOSS NASS," No mesa no tink so. Mesa scant talkie witda Naboo and no
nutten talkie it outlaunders. Dos mackineeks no comen here! Dey not know of
uss-en",False,Male,26
893,JAR JAR,  Oooooh...Ouch!,False,Male,1
894,JAR JAR," Yo dreamen mesa hopen...br QUI-GON : Just relax the Force will
guide us..",False,Male,13
895,NUTE, Thank you My Lord.,False,Male,4
896,M-9, Yes sir!  Take them to Camp Four.,False,,7
897,BBLE, They wouldn't dare,False,,3
898,OBI-WAN, It's risky...but there's no alternative,False,Male,5
899,NUTE, My Lord it's impossible to locate the ship. It's out of our range,False,Male,13
900,CAPT. PANAKA, Don't make me go back and tell her you refuse,False,Male,10
901,WATTO," No they won'ta. QUI-GON using his mind power waves his hand
again",False,Male,12
902,PADME, Padme Naberrie.,False,Female,2
903,ANAKIN, I'll take four pallies today.  You'll like these...,False,Male,8
904,PADME, On the outskirts,False,Female,3
905,ANAKIN, I'm building a droid. You wanna see,False,Male,7
906,ANAKIN, I saw your laser sword. Only Jedi carry that kind of weapon.,False,Male,12
907,QUI-GON, No I'm afraid not..,False,Male,4
908,QUI-GON," I believe you can but our first job is to aquire the parts we
need..",False,Male,15
909,QUI-GON," Fifty-fifty!?! If it's going to be fifty-fifty I suggest you
front the cash for the entry. If we win you keep all the winnings minus
the cost of the parts I need...If we lose you keep my ship.",False,Male,38
910,QUI-GON," He can see things before they happen. That's why he appears to
have such quick reflexes. It is a Jedi trait",False,Male,21
911,EE," You've been working on that thing for years. It's never going to
run",False,,13
912,-IG0N,  Not likely,False,,2
913,QUI-GON, Go on you have a big day tomorrow.  Goodnight.,False,Male,9
914,QUI-GON, I need a midi-chlorian count,False,Male,5
915,WATTO,  What??!! What do you mean,False,Male,5
916,PADME, You've never won a race,False,Female,5
917,PADME, You assume too much.,False,Female,4
918,QUI-GON, Do you still think he cheated,False,Male,6
919,ANAKIN," A Jedi! Mighty blasters you mean I get to go with you in your
starship and everything?!",False,Male,17
920,MI, Then we will see each other again,False,,7
921,ANAKIN, Do you think he'll follow us,False,Male,6
922,PALPATINE," Our best choice would be to push for the election of a stronger
Supreme Chancellor. One who will take control of the bureaucrats enforces
the laws and give us justice. You could call for a vote of no confidence
in Chancellor Valorum",False,,42
923,MACE WINDU, I do not believe they could have returned without us knowing,False,Male,11
924,QUI-GON," A boy... his cells have the highest concentration of
midi-chlorians I have seen in a life form. It is possible he was conceived
by the midi-chlorians",False,Male,26
925,LAPATINE, He is distracted...he is afraid. He will be of no help,False,,11
926,OBI-WAN," Master you could be sitting on the Council by now if you would
just follow the code. They will not go along with you this time",False,Male,26
927,MACE WINDU, Afraid to give up your life,False,Male,6
928,DA, Afraid to lose her..I think,False,,5
929,JAR JAR, Gungans ganna get pasted too eh,False,Male,6
930,PALPATINE," I feel confident...our ""situation"" will create a strong
sympaphy vote for us... I will be Chancellor I promise you",False,,19
931,DA, Ready so early are you? What know you of ready?,False,,10
932,-ADI, Events are moving fast...too fast,False,,5
933,MACE WINDU," Protect the Queen but do not intercede if it comes to war
until we have the Senate's approval",False,Male,18
934,DARTH SIDIOUS," Good. I will see to it that in the Senate things stay as
they are. I am sending Darth Maul to join you. He will deal with the Jedi",False,Male,29
935,QUI-GON, I cannot fight a war for you Your Highness only protect you,False,Male,12
936,NAKA, They've probably spotted us,False,,4
937,ANAKIN, Is it? I can help... Where are we going,False,Male,9
938,QUI-GON, Do you know where they are?,False,Male,6
939,BOSS NASS, Wesa ready to do are-sa part.,False,Male,6
940,DARTH SIDIOUS," The Jedi cannot become involved. They can only protect the
Queen. Even Qui-Gon Jinn will not break that conenant.... This will work to
our advantage..",False,Male,25
941,OBI-WAN, Yes Master..,False,Male,2
942,DA," Qui-Gon's defiance I sense in you. Need that you do not. Agree the
council does. Your apprentice young Skywalker will be.",False,,21
943,QUI-GON," .....but not at the expense of the moment. Be mindful of the
living Force my young Padawan",False,Male,17
944,CAPT. PANAKA," The Senate would revoke their trade franchise and they'd be
finished",False,Male,11
945,JAR JAR, Mure? Mure did you spake??!?,False,Male,5
946,OBI-WAN," You and the Naboo form a symbiont circle. What happens to noe of
you will affect the other. You must understand this",False,Male,22
947,JAR JAR," Ooooh maxibig...""da Force""...Wellen dat smells stinkowiff.",False,Male,6
948,CAPT. PANAKA," They need her to sign a treaty to make this invasion of
theirs legal. They can't afford to kill her",False,Male,20
949,CAPT. PANAKA," You can't take Her Royal Highness there! The Hutts are
gangsters... If they discovered her..",False,Male,15
950,DARTH SIDIOUS, ...not for a Sith...,False,Male,4
951,QUI-GON," I don't have time to argue. But this is not a good idea. Stay
close to me.",False,Male,17
952,QUI-GON, Credits will do fine,False,Male,4
953,ANAKIN," You'll never reach the outskirts in time...sandstorms are very
very dangerous. Come with me. Hurry!",False,Male,15
954,MI, Anakin! Why are they here,False,,5
955,ANAKIN, I think you have...why else would you be here?,False,Male,9
956,JAR JAR, Wit no-nutten mula to trade,False,Male,5
957,MI, He deserves better than a slave's life,False,,7
958,EK," Come on let's go play ball. Keep it up Annie and you're gonna be
bug squash.",False,,16
959,ANAKIN, I want to be the first one to see them all... Ouch!,False,Male,12
960,OBI-WAN, All right. I've got it,False,Male,5
961,QUI-GON," I'll wager my new racing pod against...say...the boy and his
mother",False,Male,11
962,ANAKIN, Well...not exactly..,False,Male,2
963,EEDO, Yes,False,,1
964,ANAKIN," I.. will become a Jedi and I will come back and free you Mom...I
promise",False,Male,15
965,QUI-GON," We'll be safe enough once we're in hyperspace but I have no
doubt he knows our destination",False,Male,17
966,AMIDALA, He has been our strongest supporter. Is there any other way,False,Female,11
967,DA," Hard to see the dark side is. Discover who this assassin is we
must",False,,14
968,MACE WINDU," You're referring to the prophesy of the one who will bring
balance to the Force...you believe it's this boy?",False,Male,19
969,LORUM," The Chair recognizes the Senator from the sovereign system of
Naboo.",False,,11
970,QUI-GON, You still have much to learn my young apprentice.,False,Male,9
971,ANAKIN, I don't think so.,False,Male,4
972,ANAKIN,  What's that got to do with anything,False,Male,7
973,AMIDALA, I hope not,False,Female,3
974,AMIDALA," I fear by the time you have control of the bureaucrats Senator
there will be nothing left of our cities our people our way of life..",False,Female,26
975,MACE WINDU," Go with the Queen to Naboo and discover the identity of the
dark warrior. That is the clue we need to unravel this mystery of the Sith.",False,Male,27
976,DA, May the Force be with you.,False,,6
977,ANAKIN, Master Qui-Gon sir I do not wish to be a problem,False,Male,11
978,NUTE, Yes my Lord.,False,Male,3
979,AMIDALA, Jar Jar Binks!,False,Female,3
980,PADME," To war I'm afraid. The Queen has had to make the most difficuld
decision of her life. She doesn't believe in fighting Annie. We are a
peaceful people..",False,Female,28
981,NUTE, I have your approval to proceed then My Lord,False,Male,9
982,QUI-GON, He is the chosen one...he will...bring balance...train him!,False,Male,8
983,OBI-WAN," Yes Master...how do you think the trade viceroy will deal with
the chancellor's demands",False,Male,14
984,AMIDALA, We must continue to rely on negotiation,False,Female,7
985,BOSS NASS," Wesa wish no nutten in yousa tings outlaunder and wesa no
care-n about da Naboo",False,Male,15
986,QUI-GON," The situation here is not what it seems. There is something else
behind all this Your Highness. There is no logic in the Federation's move
here. My feelings tell me they will destroy you",False,Male,34
987,QUI-GON," ...It would be no different than if we landed on a system
controlled by the Federation...except the Hutts aren't looking for her
which gives us an advantage.",False,Male,27
988,WATTO," No they won'ta. What you think you're some kinda Jedi waving your
hand around like that? I'm a Toydarian. Mind tricks don'ta work on me-only
money. No money no parts! No deal! And no one else has a T-14 hyperdrive
I promise you that.",False,Male,44
989,ANAKIN, A sandstorm Mom. Listen.,False,Male,4
990,PADME, These junk dealers must have a weakness of some kind,False,Female,10
991,QUI-GON," The Force is unusally strong with him that much is clear. Who
was his father",False,Male,15
992,QUI-GON, What are your readings,False,Male,4
993,WATTO," A Pod for slaves. I don't think so...well poerhaps. Just one...the
mother maybe...the boy isn't for sale",False,Male,17
994,PADME, Not even finished?!,False,Female,3
995,QUI-GON," Well Annie. You know the truth... You will have to tolerate his
opinion fighting won't change it.",False,Male,17
996,MI," No matter where you are my love will be with you. Now be brave and
don't look back... don't look back",False,,21
997,ANAKIN, What are we going to do about it?,False,Male,8
998,PALPATINE," Our only other choice would to be to submit a plea to the
courts..",False,,14
999,-ADI, I sense he will reveal himself again,False,,7
1000,QUI-GON, I don't pressume..,False,Male,3
1001,DA," Eveything. Fear is the path to the dark side... fear leads to
anger... anger leads to hate.. hate leads to suffering",False,,21
1002,JAR JAR," Gungans do die'n without a fight.... wesa warriors. Wesa gotta
grand army. Dat why you no liken us metinks.",False,Male,19
1003,PALPATINE," I understand your concern Your Majesty; unfortunately the
Federation has possession of our planet. The law is in their favor",False,,20
1004,QUI-GON," You won't be Annie....I'm not allowed to train you so I want
you to watch me and be mindful...always remember your focus determines
your reality. Stay close to me and you will be safe",False,Male,34
1005,ANAKIN, I want to help...I'm glad you're back.,False,Male,7
1006,DARTH SIDIOUS," Proceed. Wipe them put...all of them. INT. NABOO SWAMP LAKE
- DAY ",False,Male,12
1007,QUI-GON," These Federation types are cowards. The negotiations will be
short.",False,Male,10
1008,BBLE," Negotiation? We've lost all communications!...and where atre the
Chancellors Ambassadors? How can we negotiate? We must prepare to defend
ourselves",False,,20
1009,QUI-GON,  Then speed us on our way,False,Male,6
1010,BBLE," Please Your Highness reconsider. Our only hope is for the Senate
to side with us... Senator Palpatine will need your help",False,,21
1011,MI," Gambling. Everything here revolves around betting on those awful
races",False,,10
1012,MI," There was no father that I know of...I carried him I gave him
birth...I can't explain what happened. Can you help him",False,,22
1013,OBI-WAN, Something must be wrong with the transmission,False,Male,7
1014,QUI-GON, The boy is small he can't be worth much.,False,Male,9
1015,ANAKIN, I love you so much.,False,Male,5
1016,AMIDALA," There's no time for that. The courts take even longer to decide
things than the Senate. Our people are dying Senator...more and more each
day. We must do something quickly to stop the Federation",False,Female,34
1017,MACE WINDU," This attack was with purpose that is clear and I agree the
Queen is the target",False,Male,16
1018,DA, But you do! Rrevealed your opinion is,False,,7
1019,ANAKIN,  I am not afraid,False,Male,4
1020,AMIDALA," With the Senate in transition there is nothing more I can do
here...Senator this is your arena. I feel I must return to mine. I have
decided to go back to Naboo. My place is with my people",False,Female,38
1021,ANAKIN, Master sir...I've been wondering...what are midi-chlorians,False,Male,6
1022,CAPT. PANAKA," This is a dangerous situation Your Highness. Our security
volunteers will be no match against a battle-hardened Federation army",False,Male,19
1023,BOSS NASS, Wesa gonna speed yousaway,False,Male,4
1024,CAPT. PANAKA," Getting past their blockade is impossible Your Highness.
Any attempt to escape will be dangerous",False,Male,15
1025,QUI-GON," Podracing... Greed can be a powerful ally.. if it's used
properly",False,Male,11
1026,QUI-GON," I'm afraid not. Had he been born in the Republic we would have
identified him early and he would have become Jedi no doubt...he has the
way. But it's too late for him now he's too old.",False,Male,37
1027,QUI-GON, Here's a signal check,False,Male,4
1028,PALPATINE," To be realistic Your Highness I'd say we're going to have to
accept Federation control for the time being",False,,19
1029,DA, With this Naboo queen you must stay Qui-Gon. Protect her,False,,10
1030,QUI-GON, I request the boy be tested.,False,Male,6
1031,DA," A Jedi must have the deepest commitment the most serious mind. I
sense much fear in you",False,,17
1032,PALPATINE," Go back!! But Your Majesty be realistic! You would be in
danger. They will force you to sign the treaty",False,,20
1033,QUI-GON," Midi-chlorians are a microcopic lifeform that reside within all
living cells and communicates with the Force",False,Male,16
1034,AMIDALA, I will not condone a course of action that will lead us to war.,False,Female,14
1035,QUI-GON, We need a transport,False,Male,4
1036,BBLE," Your Highness I will stay here and do what I can...They will have
to retain the Council of Governors in order to maintain control. But you
must leave...",False,,28
1037,ANAKIN," I've built a racer! It's the fastest ever...There's a big race
tomorrow on Boonta Eve. You could enter my pod. It's all but finished..",False,Male,24
1038,OBI-WAN," Strange. The transmission seems to be in good order but the
reading's off the chart...over twenty thousand",False,Male,17
1039,AMIDALA, There is something I cannot do.,False,Female,6
1040,MACE WINDU," We will use all our resources here to unravel this mystery and
discover the identity of your attacker... May the Force be with you",False,Male,24
1041,ANAKIN,  I am not afraid,False,Male,4
1042,AMIDALA," I will sign no treaty Senator. My fate will be no different from
that of our people. Captain",False,Female,18
1043,ANAKIN, They live inside of me,False,Male,5
1044,BOSS NASS," Wesa give yousa una bongo. Da speedest way tooda Naboo tis goen
through da core. Now go",False,Male,17
1045,MI, Anakin settle down. Watto won't let you..,False,,7
1046,QUI-GON,  That's it then,False,Male,3
1047,DA, May the Force be with you.,False,,6
1048,DA, Then continue we will.,False,,4
1049,CAPT. PANAKA, Yes Your Highness,False,Male,3
1050,QUI-GON, In your cells. We are symbionts with the midi-chlorians,False,Male,9
1051,QUI-GON, Thank you for your help. We go in peace.,False,Male,9
1052,ANAKIN," Watto doesn't know I've built it.  You could make him
think it's your's and you could get him to let me pilot it for you.",False,Male,25
1053,OBI-WAN, Even Master Yoda doesn't have a midi-chlorian count that high,False,Male,10
1054,AMIDALA, Ready my ship,False,Female,3
1055,ANAKIN, Symbionts,False,Male,1
1056,QUI-GON, No Jedi has,False,Male,3
1057,CAPT. PANAKA, Please Your Majesty stay here...where it's safe,False,Male,7
1058,QUI-GON," Life forms living together for mutual advantage. Without the
midi-chlorians life could not exist and we would have no knowledge of the
Force. They continually speak to you telling you the will of the Force",False,Male,35
1059,OBI-WAN, What does it mean,False,Male,4
1060,AMIDALA," No place is safe if the Senate doesn't condemn this invasion. It
is clear to me now that the Republic no longer functions as a democracy. If
you win the election Senator I know you will do everything possible to
stop the Federation. I pray you will bring sanity and compassion back to
the Senate.",False,Female,55
1061,ANAKIN, They do?,False,Male,2
1062,QUI-GON, I'm not sure.,False,Male,3
1063,QUI-GON," When you learn to quiet your mind you will hear them speaking to
you",False,Male,14
1064,ANAKIN, I don't understand,False,Male,3
1065,QUI-GON, With time and training Annie...you will.,False,Male,6
